detector,descriptor,frame_index,track_id,keypoint_count,match_count,filtered_match_count,num_pairs,ttc_camera
ORB,ORB,11,1,500,42,42,255,9.0058
ORB,FREAK,11,1,192,17,17,17,7.2004
ORB,AKAZE,11,1,500,27,25,69,7.3999
ORB,SIFT,11,1,500,35,35,171,9.7446
AKAZE,BRIEF,11,1,1538,118,118,1599,13.4676
AKAZE,ORB,11,1,1529,106,104,1206,13.2494
AKAZE,FREAK,11,1,1538,106,105,1270,12.2806
AKAZE,AKAZE,11,1,1538,105,104,1332,12.9661
AKAZE,SIFT,11,1,1538,112,109,1327,12.9617
SIFT,BRIEF,11,1,1848,99,99,778,11.0561
SIFT,ORB,11,1,1817,88,86,571,11.2626
SIFT,FREAK,11,1,1856,82,82,608,11.1917
SIFT,AKAZE,11,1,2065,37,36,155,11.8094
SIFT,SIFT,11,1,2065,88,85,577,11.2389
SHITOMASI,BRIEF,11,1,1657,88,86,543,11.7539
SHITOMASI,ORB,11,1,1630,84,82,470,11.3888
SHITOMASI,FREAK,11,1,1693,71,64,369,11.5524
SHITOMASI,AKAZE,11,1,1912,87,87,533,11.7502
SHITOMASI,SIFT,11,1,1912,87,86,543,11.7539
HARRIS,BRIEF,12,1,606,39,39,39,12.1722
HARRIS,ORB,12,1,605,39,39,39,nan
HARRIS,FREAK,12,1,606,38,37,39,12.1119
HARRIS,AKAZE,12,1,621,39,39,39,12.0753
HARRIS,SIFT,12,1,621,39,39,39,6.6571
FAST,BRIEF,12,1,907,55,55,419,12.8498
FAST,ORB,12,1,897,54,54,403,12.3725
FAST,FREAK,12,1,921,48,44,301,12.6641
FAST,AKAZE,12,1,979,58,58,454,12.6094
FAST,SIFT,12,1,979,57,57,432,13.5211
BRISK,BRIEF,12,1,2906,180,180,2739,19.8053
BRISK,ORB,12,1,2883,156,155,2019,12.5849
BRISK,FREAK,12,1,2398,156,154,1902,13.7019
BRISK,AKAZE,12,1,2949,147,132,1456,22.7440
BRISK,SIFT,12,1,2949,181,174,2528,13.1058
ORB,BRIEF,12,1,500,43,43,250,13.1253
ORB,ORB,12,1,500,45,45,280,11.7110
ORB,FREAK,12,1,186,21,21,30,nan
ORB,AKAZE,12,1,500,31,29,81,nan
ORB,SIFT,12,1,500,40,38,191,51.3299
AKAZE,BRIEF,12,1,1513,109,109,1477,12.2011
AKAZE,ORB,12,1,1510,103,100,1257,12.2761
AKAZE,FREAK,12,1,1513,101,99,1252,10.9960
AKAZE,AKAZE,12,1,1513,103,102,1365,11.9226
AKAZE,SIFT,12,1,1513,109,107,1457,12.2864
SIFT,BRIEF,12,1,1779,116,113,908,9.1609
SIFT,ORB,12,1,1754,92,91,632,10.3254
SIFT,FREAK,12,1,1790,87,83,491,9.8130
SIFT,AKAZE,12,1,2007,40,38,174,11.1046
SIFT,SIFT,12,1,2007,95,85,595,10.2283
SHITOMASI,BRIEF,12,1,1654,93,92,712,12.0296
SHITOMASI,ORB,12,1,1630,85,85,595,11.8135
SHITOMASI,FREAK,12,1,1700,79,77,539,12.0631
SHITOMASI,AKAZE,12,1,1930,93,93,712,11.8354
SHITOMASI,SIFT,12,1,1930,90,90,646,11.9319
HARRIS,BRIEF,13,1,667,52,52,59,12.0414
HARRIS,ORB,13,1,666,52,52,59,12.0414
HARRIS,FREAK,13,1,667,50,48,47,12.3050
HARRIS,AKAZE,13,1,672,52,52,59,12.1195
HARRIS,SIFT,13,1,672,52,52,59,11.7931
FAST,BRIEF,13,1,945,62,62,532,11.5489
FAST,ORB,13,1,932,62,61,531,11.5424
FAST,FREAK,13,1,956,53,52,413,11.2720
FAST,AKAZE,13,1,1010,64,64,566,11.5217
FAST,SIFT,13,1,1010,65,65,579,11.5554
